"unit.code","long","lat","tmean.max","year","tmean.max.date","tmax.max","tmax.max.date","tmean.min","tmean.min.date","tmin.min","tmin.min.date"
"ACAD",-68.26019,44.376559,21.8671875,1951,"1951-07-11",28.0390625,"1951-09-13",-16.34375,"1951-12-17",-22.8203125,"1951-01-31"
"ACAD",-68.26019,44.376559,21.8671875,1951,"1951-07-16",28.0390625,"1951-09-13",-16.34375,"1951-12-17",-22.8203125,"1951-01-31"
"ACAD",-68.26019,44.376559,24.96875,1952,"1952-07-16",31.671875,"1952-07-17",-15.6875,"1952-01-31",-22.140625,"1952-01-31"
"ACAD",-68.26019,44.376559,25,1953,"1953-08-30",32.6328125,"1953-07-18",-12.5234375,"1953-02-03",-17.1484375,"1953-02-02"
"ACAD",-68.26019,44.376559,22.40625,1954,"1954-07-14",28.671875,"1954-06-23",-15.5234375,"1954-02-13",-24.3984375,"1954-02-13"
"ACAD",-68.26019,44.376559,23.90625,1955,"1955-08-21",31.3671875,"1955-06-20",-20.390625,"1955-02-02",-25.5703125,"1955-02-02"
"ACAD",-68.26019,44.376559,21.6328125,1956,"1956-06-16",29.7890625,"1956-06-16",-15.7265625,"1956-01-02",-22.7109375,"1956-01-01"
"ACAD",-68.26019,44.376559,24.09375,1957,"1957-06-25",31.6328125,"1957-06-25",-22.421875,"1957-01-15",-27.5390625,"1957-01-15"
"ACAD",-68.26019,44.376559,22.046875,1958,"1958-07-03",28.140625,"1958-07-25",-14.6171875,"1958-02-11",-20.609375,"1958-02-11"
"ACAD",-68.26019,44.376559,23.78125,1959,"1959-08-16",31.4296875,"1959-08-16",-16.84375,"1959-01-07",-20.71875,"1959-02-09"
"ACAD",-68.26019,44.376559,23.4609375,1960,"1960-09-09",31.21875,"1960-09-09",-16.6796875,"1960-01-11",-22.2265625,"1960-01-10"
"ACAD",-68.26019,44.376559,23.8828125,1961,"1961-08-12",30.09375,"1961-09-12",-18.140625,"1961-02-02",-23.671875,"1961-02-02"
"ACAD",-68.26019,44.376559,21.59375,1962,"1962-06-17",29.7109375,"1962-06-18",-22.6171875,"1962-02-02",-29.390625,"1962-02-02"
"ACAD",-68.26019,44.376559,27.6328125,1963,"1963-07-28",35.5078125,"1963-07-27",-16.46875,"1963-12-31",-22.1015625,"1963-01-26"
"ACAD",-68.26019,44.376559,22.4765625,1964,"1964-07-17",30.2265625,"1964-05-25",-15.96875,"1964-01-01",-22.1796875,"1964-01-01"
"ACAD",-68.26019,44.376559,23.9921875,1965,"1965-06-30",31.2109375,"1965-06-30",-21.140625,"1965-01-16",-25,"1965-01-16"
"ACAD",-68.26019,44.376559,22.921875,1966,"1966-08-19",29.40625,"1966-08-20",-17.2734375,"1966-02-21",-24.046875,"1966-02-21"
"ACAD",-68.26019,44.376559,22.1484375,1967,"1967-06-17",29.6328125,"1967-06-17",-17.046875,"1967-02-13",-25.9765625,"1967-02-14"
"ACAD",-68.26019,44.376559,24.7890625,1968,"1968-07-17",32.3984375,"1968-07-17",-21.890625,"1968-01-09",-25.328125,"1968-01-09"
"ACAD",-68.26019,44.376559,25.5625,1969,"1969-07-18",32.03125,"1969-07-17",-15.046875,"1969-02-06",-20.921875,"1969-02-07"
"ACAD",-68.26019,44.376559,25.0390625,1970,"1970-07-25",32.8828125,"1970-07-25",-17.1171875,"1970-12-23",-23.0703125,"1970-12-22"
"ACAD",-68.26019,44.376559,24.0625,1971,"1971-09-05",31.1328125,"1971-08-10",-20.828125,"1971-02-04",-27.1796875,"1971-02-04"
"ACAD",-68.26019,44.376559,21.9921875,1972,"1972-08-29",29.0625,"1972-07-24",-17.0234375,"1972-02-24",-23.7734375,"1972-02-23"
"ACAD",-68.26019,44.376559,26.5,1973,"1973-07-09",32.640625,"1973-07-09",-18.9921875,"1973-01-09",-24.359375,"1973-02-01"
"ACAD",-68.26019,44.376559,23.203125,1974,"1974-08-05",31.328125,"1974-06-10",-17.84375,"1974-01-18",-22.4765625,"1974-01-18"
"ACAD",-68.26019,44.376559,28.5,1975,"1975-08-03",38.8203125,"1975-08-03",-18.859375,"1975-12-21",-25.4296875,"1975-12-21"
"ACAD",-68.26019,44.376559,25.6328125,1976,"1976-08-23",33.359375,"1976-06-25",-18.9609375,"1976-01-12",-24.9375,"1976-01-24"
"ACAD",-68.26019,44.376559,25.296875,1977,"1977-07-21",33.2890625,"1977-07-22",-18.5390625,"1977-01-19",-22.75,"1977-01-19"
"ACAD",-68.26019,44.376559,25.8515625,1978,"1978-07-22",34.65625,"1978-07-22",-15.34375,"1978-02-04",-20.0234375,"1978-02-05"
"ACAD",-68.26019,44.376559,25.40625,1979,"1979-08-05",32.2578125,"1979-06-17",-16.9609375,"1979-02-18",-21.5078125,"1979-02-13"
"ACAD",-68.26019,44.376559,24.921875,1980,"1980-07-26",31.1875,"1980-08-25",-17,"1980-12-22",-26.96875,"1980-12-26"
"ACAD",-68.26019,44.376559,24.2265625,1981,"1981-07-09",34.09375,"1981-07-09",-21.671875,"1981-01-05",-29.328125,"1981-01-05"
"ACAD",-68.26019,44.376559,25.7578125,1982,"1982-07-20",33.359375,"1982-07-20",-18.796875,"1982-01-19",-25.7109375,"1982-01-18"
"ACAD",-68.26019,44.376559,25.578125,1983,"1983-06-23",33.546875,"1983-06-23",-17.2734375,"1983-12-26",-22.078125,"1983-01-19"
"ACAD",-68.26019,44.376559,25.609375,1984,"1984-06-10",34.0078125,"1984-06-10",-17.3203125,"1984-01-22",-24.546875,"1984-01-22"
"ACAD",-68.26019,44.376559,25.046875,1985,"1985-08-16",31.2734375,"1985-08-16",-16.1171875,"1985-12-20",-21.7265625,"1985-12-19"
"ACAD",-68.26019,44.376559,22.5625,1986,"1986-07-27",30.71875,"1986-07-09",-18,"1986-01-16",-22.03125,"1986-01-16"
"ACAD",-68.26019,44.376559,25.09375,1987,"1987-08-18",32.5234375,"1987-08-18",-16.7578125,"1987-02-15",-21.78125,"1987-02-15"
"ACAD",-68.26019,44.376559,26.3203125,1988,"1988-08-06",34.9609375,"1988-06-16",-19.3515625,"1988-01-15",-25.09375,"1988-01-14"
"ACAD",-68.26019,44.376559,24.703125,1989,"1989-07-27",33.1484375,"1989-07-27",-17.4609375,"1989-12-30",-23.3125,"1989-12-30"
"ACAD",-68.26019,44.376559,24.21875,1990,"1990-07-20",31.3984375,"1990-07-20",-15.1875,"1990-02-27",-21.6171875,"1990-02-27"
"ACAD",-68.26019,44.376559,26.1171875,1991,"1991-07-21",33.3671875,"1991-07-22",-15.71875,"1991-01-26",-19.5234375,"1991-01-24"
"ACAD",-68.26019,44.376559,23.1875,1992,"1992-05-23",33.4375,"1992-05-23",-17.1171875,"1992-01-17",-20.90625,"1992-01-17"
"ACAD",-68.26019,44.376559,26.359375,1993,"1993-08-27",33.78125,"1993-08-27",-19.7421875,"1993-02-07",-26.1875,"1993-01-31"
"ACAD",-68.26019,44.376559,25.4296875,1994,"1994-07-22",31.3984375,"1994-07-22",-21.2265625,"1994-01-17",-26.8125,"1994-01-17"
"ACAD",-68.26019,44.376559,25.4375,1995,"1995-08-02",32.4296875,"1995-08-02",-19.609375,"1995-02-07",-24.109375,"1995-02-07"
"ACAD",-68.26019,44.376559,22.8828125,1996,"1996-08-06",29.453125,"1996-08-07",-16.953125,"1996-01-06",-21.2890625,"1996-02-14"
"ACAD",-68.26019,44.376559,24.09375,1997,"1997-07-18",31.9375,"1997-06-11",-16.0390625,"1997-01-19",-21.1015625,"1997-01-19"
"ACAD",-68.26019,44.376559,24.9375,1998,"1998-07-23",32.4609375,"1998-07-23",-12.546875,"1998-01-23",-19.609375,"1998-12-31"
"ACAD",-68.26019,44.376559,26.7421875,1999,"1999-07-18",33.6171875,"1999-07-18",-15.3515625,"1999-01-03",-22.3984375,"1999-01-15"
"ACAD",-68.26019,44.376559,22.9296875,2000,"2000-08-09",31.34375,"2000-06-18",-16.3828125,"2000-01-23",-21.578125,"2000-01-23"
"ACAD",-68.26019,44.376559,26.3125,2001,"2001-06-28",32.4296875,"2001-08-08",-13.4921875,"2001-03-02",-19.28125,"2001-03-02"
"ACAD",-68.26019,44.376559,26.4375,2002,"2002-07-04",34.8125,"2002-07-04",-10.2578125,"2002-02-03",-15.71875,"2002-12-09"
"ACAD",-68.26019,44.376559,23.53125,2003,"2003-06-27",30.328125,"2003-06-27",-19.2109375,"2003-02-14",-23.828125,"2003-02-14"
"ACAD",-68.26019,44.376559,22.0625,2004,"2004-08-02",29.5078125,"2004-06-09",-21.4375,"2004-01-15",-24.0625,"2004-01-14"
"ACAD",-68.26019,44.376559,24.5234375,2005,"2005-06-26",32.9375,"2005-06-26",-18.390625,"2005-01-22",-23.2109375,"2005-01-22"
"ACAD",-68.26019,44.376559,23.890625,2006,"2006-08-02",29.65625,"2006-07-15",-12.3671875,"2006-02-28",-15.7890625,"2006-02-28"
"ACAD",-68.26019,44.376559,24.7578125,2007,"2007-07-27",31.59375,"2007-07-27",-16.640625,"2007-03-07",-20.9765625,"2007-01-18"
"ACAD",-68.26019,44.376559,23.8984375,2008,"2008-07-09",31.3125,"2008-06-09",-17.609375,"2008-01-04",-21.828125,"2008-01-04"
"ACAD",-68.26019,44.376559,26.3203125,2009,"2009-08-19",32.03125,"2009-08-19",-18.28125,"2009-01-16",-25.171875,"2009-01-16"
"ACAD",-68.26019,44.376559,26.109375,2010,"2010-09-02",33.046875,"2010-09-01",-11.7578125,"2010-02-07",-17.6015625,"2010-01-31"
"ACAD",-68.26019,44.376559,27.890625,2011,"2011-07-23",34.2890625,"2011-07-23",-16.7265625,"2011-01-25",-20.921875,"2011-01-25"
"ACAD",-68.26019,44.376559,25.2109375,2012,"2012-07-15",32.0625,"2012-07-15",-14.4765625,"2012-01-16",-18.359375,"2012-01-22"
"ACAD",-68.26019,44.376559,26.2421875,2013,"2013-07-06",33.640625,"2013-07-16",-16.3671875,"2013-01-24",-23.453125,"2013-12-17"
"ACAD",-68.26019,44.376559,23.296875,2014,"2014-07-02",29.828125,"2014-06-30",-20.2890625,"2014-01-04",-24.7265625,"2014-01-04"
"ACAD",-68.26019,44.376559,23.859375,2015,"2015-08-19",30.2265625,"2015-08-19",-18.390625,"2015-02-14",-27.2734375,"2015-02-14"
"ACAD",-68.26019,44.376559,24.78125,2016,"2016-07-16",31.890625,"2016-09-10",-17.3984375,"2016-12-17",-23.171875,"2016-12-17"
"ACAD",-68.26019,44.376559,24.0234375,2017,"2017-06-13",32.3828125,"2017-05-19",-19.4609375,"2017-12-30",-24,"2017-12-30"
"ACAD",-68.26019,44.376559,27.046875,2018,"2018-08-08",33.078125,"2018-08-08",-19.40625,"2018-01-07",-21.703125,"2018-01-02"
"ACAD",-68.26019,44.376559,25.390625,2019,"2019-07-22",33.3203125,"2019-07-21",-12.7890625,"2019-01-22",-17.890625,"2019-03-08"
"ACAD",-68.26019,44.376559,25.390625,2019,"2019-07-31",33.3203125,"2019-07-21",-12.7890625,"2019-01-22",-17.890625,"2019-03-08"
"ACAD",-68.26019,44.376559,26.578125,2020,"2020-07-29",32.65625,"2020-07-29",-13.796875,"2020-02-15",-18.6875,"2020-02-15"
"ACAD",-68.26019,44.376559,26.5,2021,"2021-06-30",32.9765625,"2021-06-30",-10.9765625,"2021-01-31",-15.6328125,"2021-02-13"
"ACAD",-68.26019,44.376559,25.46875,2022,"2022-08-08",32.421875,"2022-07-24",-16.4765625,"2022-01-12",-21.9921875,"2022-01-28"
"ACAD",-68.26019,44.376559,23.84375,2023,"2023-07-29",30.9765625,"2023-06-02",-19.5703125,"2023-02-05",-26.2890625,"2023-02-04"
"ACAD",-68.26019,44.376559,27.2421875,2024,"2024-06-21",34.7421875,"2024-06-21",-9.59375,"2024-01-21",-13.9375,"2024-01-31"
